"Di Robilant, Andrea ",7
"Burke, Marcus ",7
"Hite, Ann ",7
"Kacer, Kathy ",7
"Southwick, Teresa ",7
"Leveen, Tom ",7
"Spotswood, Jessica ",7
"Alexander, Amir ",7
"Lui, Elaine ",7
"Arnold, Francena H. ",6
"Chase, Layla ",6
"Lindsay, Yvonne ",6
"Pitts, Leonard, Jr. ",6
"Norman, Matthew ",6
"Chambers, Ginger ",6
" Boobbyer, Claire ",6
"Campbell, Jack ",6
"Title, Sarah ",6
"Greene, Stephanie ",6
"Cook, Kristi ",6
" Devlin, Delilah ",6
"Hopkinson, Deborah ",6
"Elliott, Cara ",6
" McAuslan, Fiona ",6
"Walton, Jo ",6
"Kennedy, John Fitzgerald ",6
"Brier, Bob ",6
"Lindberg, Eric ",6
"Rasmussen, Carl G. ",6
" Jackson, Myla ",6
" Sisson, Stephanie Roth (ILT)",6
" Jack, Colin (ILT)",6
"O'Ryan, Ray ",6
"Kynes, Sandra ",6
"Snelling, Lauraine ",6
"Minter, Adam ",6
"Tozer, Gabrielle ",6
"Ellis, Ann Dee ",6
" Sandler, Martin W. (EDT)",6
"Richards, Elizabeth ",5
"Amoroso, Cynthia ",5
"Leonard, Niall ",5
"Stuber, Barbara ",5
"Pelletier, Cathie ",5
"Whiddon, Karen ",5
"Hemingway, Ernest ",5
"Hilaire, Tes ",5
"Banks, Russell ",5
"Finney, Jack ",5
Insight Guides (COR),5
"Latta, Sara L. ",5
"Irwin, Ron ",5
"Grecian, Alex ",5
"Washington, Altonya ",5
"Destiny, A. ",5
"Klemm, W. R. ",5
"Child, Maureen ",5
"Johnston, Paul ",5
"Groundwater, Beth ",5
"Fredsti, Dana ",5
"Thomas, Jacquelin ",5
"Lee, Georgie ",5
"Collins, Courtney ",5
"Furtick, Steven ",5
"Mayer, Robert H. ",5
"Shaw, June ",5
"Pan, Jessica ",4
"Shan, Darren ",4
"Hoole, Elissa Janine ",4
"Hill, Gerri ",4
"Maier, Pauline ",4
"Mezrich, Ben ",4
"Wharton, Edith ",4
"Kery, Beth ",4
"Poynter, Margaret ",4
" Busby, John ",4
"Krull, Kathleen ",4
"Anderson, Taylor ",4
" Berne, Emma Carlson ",4
"Jocelyn, Marthe ",4
" Wolff, Cynthia Griffin (INT)",4
"Hoare, Philip ",4
"Boghossian, Peter ",4
" Shermer, Michael (FRW)",4
"Brewster, Joe ",4
" Kapelke-dale, Rachel ",4
"Leigh, Jo ",4
"Busby, Cylin ",4
"Reid, Maryann ",4
"Weissman, Elissa Brent ",4
"Carman, Patrick ",4
" Willis, Drew (ILT)",4
"Robinson, Andrew ",4
"Mayberry, Sarah ",4
"Monnig, Alex ",3
"Folino, Franco ",3
Various ,3
" Munson, Russell ",3
" Ritz, David (CON)",3
"Burkhart, Jessica ",3
"Davis, Lydia ",3
" Morris, Adam (TRN)",3
"Kelly, Carla ",3
"Sparacia, Roseann ",3
"Burrows, Tonya ",3
"Hospital, Janette Turner ",3
"Martin, Gail Gaymer ",3
" Ying, Victoria (ILT)",3
"Kakalios, James ",3
"Lewis, Susan ",3
"Keene, Carolyn ",3
"Barkley, Callie ",3
" Kitai, Sara (TRN)",3
"Cassidy, Carla ",3
"Lee, Rachel ",3
"Hilst, Hilda ",3
"Shoham, Liad ",3
"Fischer, Karen ",3
"Leak, Jeffrey B. ",3
"Aly, Götz ",3
"Cleary, Jon ",3
"Bach, Shelby ",3
"Nichols, John ",3
" Riti, Marsha (ILT)",3
"Lindsey, Brooklyn ",3
"Tsintziras, Spiri ",3
"Cambias, James ",3
"Bradley, John Ed ",3
"De La Cruz, Melissa ",3
"Spencer, Sally ",3
"Bach, Richard ",3
"Short, Philip ",3
"Buchman, M. L. ",3
"Gresko, Brian ",3
"Perry, Joe ",3
"Chauran, Alexandra ",3
"Arcos, Carrie ",3
"Dwyer, Philip ",3
"Lindner, Eric ",3
"Yenne, Bill ",3
"Weiner, Jennifer ",3
"Ockler, Sarah ",3
" Gordon, Sherri Mabry ",3
"Kane, Andrea ",2
"Wettersten, Laura ",2
" Gresham, John D. ",2
"Cochran, Sue ",2
"Peters, Jeffrey Edward ",2
"Faulk, Michelle, Ph.d. ",2
"Abawi, Atia ",2
"Fluttert, Pam ",2
"Danilov, Victor J. ",2
Pen in Hand Inc. (COR),2
"Thompson, Nancy Robards ",2
"Arp, David ",2
"Lay, Duncan ",2
"Asim, Jabari ",2
" Lowery, Mike (ILT)",2
"Goeglein, T. M. ",2
" Arp, Claudia ",2
"Di Mambro, Dina ",2
"Templeton, Karen ",2
"Roecker, Laura ",2
"Schwenk, Donna ",2
"McKinlay, Jenn ",2
"Figes, Orlando ",2
" Thomas, Glenn (ILT)",2
"Leavitt, David ",2
"Pratt, Non ",2
"Pilkington, Karl ",2
"Franklin, Emily ",2
"Murray, Stuart A. P. ",2
"Carpenter, Teresa ",2
"Chan, Crystal ",2
"Gold, John Coopersmith ",2
" Labaff, Stephanie (ILT)",2
"Savage, Roz ",2
" Halpin, Brendan ",2
"Smith, Wilbur A. ",2
"McManus, John C. ",2
" Gordon, Sarah (CON)",2
"Springer, Ken Ph.d. ",2
" Mulholland, Roy ",2
"Trevayne, Emma ",2
"Gottschalk, Peter ",2
"Keach, Stacy ",2
"Job, Rueben P. ",2
"Givens, David ",2
" Goodson, Steve (CON)",2
"Anderson, Rita ",2
"Kang, Shimi ",2
"Clark, Kathleen Ann (EDT)",2
"Murphy, Laura Blake ",2
" Eskew, Glenn (CON)",2
"Jennings, Ken ",2
"Brasme, Anne-Sophie ",2
"Bronski, Michael (EDT)",2
"Terry, Teri ",2
"Bridges, Kate ",2
"MacDonnell, Julia ",2
"Denapoli, Dyan ",2
"Montgomery, L. M. ",2
"Miller, Mirella S. ",2
"Potter, Patricia ",2
"Zimmerman, Dwight Jon ",2
" Dews, Carlos (CON)",2
" Roecker, Lisa ",2
"Cohen, Bernard ",1
"Nichols, Mary ",1
" Haywood, Dixie ",1
"Wroble, Lisa A. ",1
"Van Tiem, Victoria ",1
"Meyer, Arthur ",1
"Argyle, Ray ",1
"Brodsky, Alyn ",1
"Goodstein, Madeline ",1
" Helms, Rhonda ",1
"Oppel, Kenneth ",1
"Warrington, Freda ",1
"Wilson, Jon ",1
"Vowell, Sarah ",1
" Pamintuan, Macky (ILT)",1
"Cho, David Yonggi ",1
"Hoff, Pablo ",1
"Chancellor, Will ",1
"Blake, Deborah ",1
"Hilton, Marilyn ",1
"Coven, Wanda ",1
"Gray, Shelley Shepard ",1
" Irvin, Frank (ILT)",1
"Jennings, Christian ",1
"McVoy, Terra Elan ",1
"Marshall, Linda Elovitz ",1
"Myers, Jason ",1
"McMann, Lisa ",1
"Wells, Martha ",1
"Cage, Elizabeth ",1
"Leach, Nicky ",1
"Beck, Simone ",1
"Bean, Gregory ",1
"Woppert, Allen J. ",1
"Sobey, Ed, Ph.d. ",1
"Fossen, Delores ",1
"Porter, Julian ",1
"McBeath, John ",1
"Hammontree, Marie ",1
"Morgan, Alexis ",1
"Torabi, Farnoosh ",1
"Rainis, Kenneth G. ",1
" Putnam, Robert D. ",1
"Beckett, Macy ",1
"Harbach, Chad (EDT)",1
"Treasure, Rachael ",1
"Dixon, Franklin W. ",1
"Staib, Walter ",1
"Pelecanos, George P. ",1
" Burris, Priscilla (ILT)",1
"Flood, C. J. ",1
"Benning, Lee Edwards ",1
"Campbell, David E. ",1
"Hardy, Kate ",1
" Bruno, Iacopo (ILT)",1
" Vaïsse, Maurice ",1
"Priestley, Jason ",1
"Brodie, Deborah (EDT)",1
"Smith, Chas ",1
"Drewry, Laura ",1
"Adams, Glenda ",1
"Anderson, Margaret J. ",1
"Benson, Brian ",1
"Orsini, Giuseppe ",1
"Triana, Gaby ",1
"Royce, Brenda Scott ",1
"Sanders, Shelly ",1
" Herron, Rita ",1
"Hapka, Catherine ",1
"Alderson, Sarah ",1
"Poe, Edgar Allan ",1
"Timmer, Reed ",1
" Vann, Mick ",1
"Dionne, E. J., Jr. ",1
" Perini, Robin ",1
"Hall, Jane ",1
"Prince, Joseph ",1
"McKenna, Lindsay ",1
"Judson, Karen ",1
" Tilin, Andrew ",1
"Lawson, Jessica ",1
"Gabriel, Luke ",1
"Rudnick, Paul ",1
"Krensky, Stephen ",1
"Collodi, Carlo ",1
 Rogé (ILT),1
" Engel, Christiane (ILT)",1
"Scherer, Glenn ",1
"Grindle, Merilee S. ",1
"Levin, Phyllis Lee ",1
"Fields, Terri ",1
"Spitz, Bob ",1
"Smith, Russell ",1
"Andrews, Buffy ",1
Pierce Angela ,1
" McCullough, David (FRW)",1
"Elliott, Will ",1
"Niven, Jennifer ",1
"McCollum, Heather ",1
"Chase, Ella March ",1
